school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,average,sum,percentage
GP,F,16,2,GT3,2,3,1,services,other,course,mother,1,4,0,2,2,2,no,yes,yes,2,no,4,3,3,1,2,5,4,7,7,6,6.666667,20,33.33
GP,F,15,1,LE3,2,2,2,health,services,reputation,mother,2,2,0,2,2,2,no,yes,yes,2,no,4,1,3,1,3,4,2,8,9,8,8.333333,25,41.67
GP,F,15,1,LE3,2,3,1,other,other,reputation,father,2,4,0,1,2,1,no,no,yes,2,no,4,4,2,2,3,3,12,16,16,16,16,48,80
GP,M,16,2,GT3,2,3,1,other,other,reputation,father,2,4,0,1,2,2,no,yes,yes,2,no,4,3,2,1,1,5,0,13,15,15,14.33333,43,71.67
GP,M,15,2,GT3,2,4,2,other,other,course,mother,1,4,0,1,1,1,no,yes,yes,2,no,3,3,3,1,1,3,0,10,10,10,10,30,50
GP,F,15,1,GT3,2,1,1,other,other,reputation,mother,1,2,2,2,2,1,no,no,yes,2,yes,3,3,4,2,4,5,2,8,6,5,6.333333,19,31.67
GP,M,16,2,GT3,2,3,1,other,other,reputation,mother,1,1,0,1,1,1,yes,yes,yes,1,no,5,3,2,2,2,5,2,12,12,14,12.66667,38,63.33
GP,F,16,2,GT3,2,3,3,other,services,home,mother,1,2,0,2,2,2,yes,yes,yes,2,no,4,3,3,2,4,5,54,11,12,11,11.33333,34,56.67
GP,M,15,2,GT3,2,4,3,teacher,other,home,mother,1,2,0,1,2,2,yes,yes,yes,2,no,4,3,3,2,3,5,6,9,9,10,9.333333,28,46.67
GP,M,15,2,GT3,2,4,0,teacher,other,course,mother,2,4,0,1,1,1,yes,yes,yes,2,no,3,4,3,1,1,1,8,11,11,10,10.66667,32,53.33
GP,F,16,2,GT3,2,2,2,other,other,reputation,mother,1,4,0,1,1,2,no,yes,yes,2,yes,5,2,3,1,3,3,0,11,11,11,11,33,55
GP,M,17,2,GT3,2,2,1,other,other,home,mother,2,1,3,2,2,1,yes,yes,no,2,no,4,5,1,1,1,3,2,8,8,10,8.666667,26,43.33
GP,F,16,2,GT3,2,3,4,at_home,other,course,mother,1,2,0,1,2,1,no,yes,yes,2,no,2,4,3,1,2,3,12,5,5,5,5,15,25
GP,M,15,2,GT3,2,2,3,other,services,course,father,1,1,0,2,2,2,yes,no,yes,2,yes,3,2,2,1,3,3,2,10,12,12,11.33333,34,56.67
GP,M,15,2,GT3,2,2,3,other,other,home,mother,1,3,0,2,1,2,no,no,yes,2,no,5,3,2,1,2,5,4,11,10,11,10.66667,32,53.33
GP,F,15,2,LE3,2,3,2,services,other,reputation,mother,1,2,0,1,2,2,no,yes,yes,2,no,4,4,4,1,1,5,10,7,6,6,6.333333,19,31.67
GP,M,15,2,LE3,2,2,2,services,services,home,mother,2,2,0,1,1,2,yes,yes,yes,2,no,5,3,3,1,3,4,4,15,15,15,15,45,75
GP,F,15,2,GT3,2,1,1,other,other,home,father,1,2,0,1,2,1,yes,no,yes,2,no,4,3,2,2,3,4,2,9,10,10,9.666667,29,48.33
GP,F,15,2,GT3,2,4,4,services,services,reputation,father,2,2,2,1,1,2,no,yes,yes,2,yes,4,4,4,2,3,5,6,7,9,8,8,24,40
GP,F,16,2,LE3,2,2,2,at_home,other,course,mother,1,2,0,1,2,1,no,yes,yes,1,no,4,3,4,1,2,2,4,8,7,6,7,21,35
GP,F,15,2,GT3,2,4,2,other,other,reputation,mother,1,3,0,1,2,1,yes,yes,yes,2,no,5,3,3,1,3,1,4,13,14,14,13.66667,41,68.33
GP,M,16,2,GT3,2,2,2,services,other,reputation,father,2,2,1,1,1,2,yes,no,yes,2,no,4,4,2,1,1,3,12,11,10,10,10.33333,31,51.67
GP,M,16,2,LE3,1,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,no,yes,yes,1,no,4,1,3,3,5,5,18,8,6,7,7,21,35
GP,F,16,2,GT3,2,3,3,other,other,home,mother,1,3,0,1,2,2,no,yes,yes,2,yes,4,3,3,1,3,4,0,7,7,8,7.333333,22,36.67
GP,F,15,2,GT3,2,4,3,services,other,reputation,mother,1,1,0,1,1,2,yes,yes,yes,2,no,4,5,5,1,3,1,4,16,17,18,17,51,85
GP,F,16,2,LE3,2,3,1,other,other,home,father,1,2,0,2,2,1,no,yes,yes,1,no,3,3,3,2,3,2,4,7,6,6,6.333333,19,31.67
GP,F,16,2,GT3,2,4,2,teacher,services,home,mother,2,2,0,1,2,2,yes,yes,yes,2,no,5,3,3,1,1,1,0,11,10,10,10.33333,31,51.67
GP,M,15,2,LE3,2,2,2,services,health,reputation,mother,1,4,0,1,2,1,yes,yes,yes,2,no,4,3,4,1,1,4,6,11,13,14,12.66667,38,63.33
GP,F,15,1,GT3,2,1,1,at_home,other,home,mother,2,4,1,2,2,2,yes,yes,yes,2,no,3,1,2,1,1,1,2,7,10,10,9,27,45
GP,M,16,1,GT3,2,4,3,services,other,reputation,mother,2,1,0,2,2,1,yes,no,yes,2,no,3,3,3,1,1,4,2,11,15,15,13.66667,41,68.33
GP,F,16,2,GT3,2,2,1,other,other,course,mother,1,2,0,1,2,2,no,yes,yes,1,yes,4,3,5,1,1,5,2,8,9,10,9,27,45
GP,F,16,2,GT3,2,4,4,other,other,reputation,mother,1,1,0,1,1,1,yes,no,yes,2,no,5,3,4,1,2,1,6,11,14,14,13,39,65
GP,F,16,2,GT3,2,4,3,other,at_home,course,mother,1,3,0,2,2,2,no,yes,yes,2,no,5,3,5,1,1,3,0,7,9,8,8,24,40
GP,M,16,2,GT3,2,4,4,services,services,other,mother,1,1,0,2,2,2,yes,yes,yes,2,no,4,5,5,5,5,4,14,7,7,5,6.333333,19,31.67
GP,M,16,2,GT3,2,4,4,services,teacher,other,father,1,3,0,1,2,1,yes,yes,yes,2,yes,4,4,3,1,1,4,0,16,17,17,16.66667,50,83.33
GP,M,15,2,GT3,2,4,4,services,other,course,mother,1,1,0,1,2,1,yes,no,yes,2,no,5,3,3,1,1,5,4,10,13,14,12.33333,37,61.67
GP,F,15,2,GT3,2,3,2,services,other,home,mother,2,2,0,2,2,2,no,yes,yes,2,no,4,3,5,1,1,2,26,7,6,6,6.333333,19,31.67
GP,M,15,2,GT3,1,3,4,services,other,course,mother,1,2,0,1,2,2,yes,yes,yes,2,no,5,4,4,1,1,1,0,16,18,18,17.33333,52,86.67
GP,F,15,2,GT3,1,3,3,other,health,reputation,father,1,4,0,2,1,1,no,yes,yes,1,no,4,3,3,1,1,4,10,10,11,11,10.66667,32,53.33
GP,F,15,2,GT3,2,2,2,other,other,course,mother,1,4,0,2,2,2,no,yes,yes,2,no,5,1,2,1,1,3,8,7,8,8,7.666667,23,38.33
GP,M,16,2,GT3,2,3,3,services,other,home,father,1,3,0,1,2,1,yes,yes,yes,2,no,5,3,3,1,1,5,2,16,18,18,17.33333,52,86.67
GP,M,15,1,GT3,2,4,4,other,other,home,father,4,4,0,1,2,2,yes,yes,yes,2,yes,1,3,5,3,5,1,6,10,13,13,12,36,60
GP,F,16,2,LE3,2,4,4,health,health,other,mother,1,3,0,1,2,2,yes,yes,yes,2,yes,5,4,5,1,1,4,4,14,15,16,15,45,75
GP,M,15,2,LE3,1,4,4,teacher,teacher,course,mother,1,1,0,1,1,1,yes,yes,yes,2,no,5,5,3,1,1,4,6,18,19,19,18.66667,56,93.33
GP,F,16,1,GT3,2,3,3,services,other,reputation,father,1,3,1,2,2,1,yes,yes,yes,2,no,4,1,2,1,1,2,0,7,10,10,9,27,45
GP,F,16,2,GT3,2,2,2,at_home,other,home,mother,1,2,1,2,1,1,yes,yes,yes,2,no,3,1,2,1,1,5,6,10,13,13,12,36,60
GP,M,15,2,LE3,2,4,2,teacher,other,course,mother,1,1,0,1,1,1,no,yes,yes,2,no,3,5,2,1,1,3,10,18,19,19,18.66667,56,93.33
GP,M,15,1,GT3,2,2,1,health,services,reputation,mother,1,2,0,1,1,1,yes,yes,yes,2,yes,5,4,2,1,1,5,8,9,9,9,9,27,45
GP,M,16,2,GT3,2,4,4,teacher,teacher,course,father,1,2,0,1,2,1,yes,yes,yes,2,no,5,4,4,1,2,5,2,15,15,16,15.33333,46,76.67
GP,M,15,2,GT3,2,4,4,other,teacher,reputation,father,2,2,0,1,2,1,yes,yes,yes,1,no,4,4,3,1,1,2,2,11,13,14,12.66667,38,63.33
GP,M,16,2,GT3,2,3,3,other,services,home,father,2,1,0,1,1,1,yes,yes,yes,2,no,5,4,2,1,1,5,0,13,14,13,13.33333,40,66.67
GP,M,17,1,GT3,2,1,3,other,other,course,father,3,2,1,1,2,1,yes,yes,yes,2,no,5,2,4,1,4,5,20,9,7,8,8,24,40
GP,M,15,2,GT3,2,3,4,other,other,reputation,father,1,1,0,1,1,1,no,yes,yes,2,no,3,4,3,1,2,4,6,14,13,13,13.33333,40,66.67
GP,F,15,2,GT3,2,1,2,at_home,services,course,mother,1,2,0,1,1,1,no,no,yes,2,no,3,2,3,1,2,1,2,16,15,15,15.33333,46,76.67
GP,M,15,2,GT3,2,2,2,services,services,home,father,1,4,0,1,2,2,yes,yes,yes,2,no,5,5,4,1,2,5,6,16,14,15,15,45,75
GP,F,16,2,LE3,2,2,4,other,health,course,father,2,2,0,1,2,2,yes,yes,yes,2,yes,4,2,2,1,2,5,2,13,13,13,13,39,65
GP,M,16,2,GT3,2,4,4,health,other,course,mother,1,1,0,1,2,1,yes,yes,yes,2,no,3,4,4,1,4,5,18,14,11,13,12.66667,38,63.33
GP,F,16,2,GT3,2,2,2,other,other,home,mother,1,2,0,1,1,2,no,yes,yes,2,yes,5,4,4,1,1,5,0,8,7,8,7.666667,23,38.33
GP,M,15,2,GT3,2,3,4,services,services,home,father,1,1,0,2,1,1,no,yes,yes,2,no,5,5,5,3,2,5,0,13,13,12,12.66667,38,63.33
GP,F,15,2,LE3,1,3,4,other,other,home,mother,1,2,0,2,1,1,yes,yes,yes,2,yes,5,3,2,1,1,1,0,7,10,11,9.333333,28,46.67
GP,F,19,2,GT3,2,0,1,at_home,other,course,other,1,2,3,1,2,1,no,no,no,1,no,3,4,2,1,1,5,2,7,8,9,8,24,40
GP,M,18,1,GT3,2,2,2,services,other,reputation,mother,1,1,2,1,2,1,yes,yes,yes,2,no,3,3,3,1,2,4,0,7,4,0,3.666667,11,18.33
GP,M,16,1,GT3,2,4,4,teacher,teacher,course,mother,1,1,0,1,1,2,yes,yes,yes,2,no,3,5,5,2,5,4,8,18,18,18,18,54,90
GP,F,15,1,GT3,2,3,4,services,teacher,course,father,2,3,2,1,2,1,no,yes,yes,2,yes,4,2,2,2,2,5,0,12,0,0,4,12,20
GP,F,15,2,GT3,2,1,1,at_home,other,course,mother,3,1,0,1,2,1,yes,no,yes,2,yes,4,3,3,1,2,4,0,8,0,0,2.666667,8,13.33
GP,F,17,2,LE3,2,2,2,other,other,course,father,1,1,0,1,2,1,no,yes,yes,2,yes,3,4,4,1,3,5,12,10,13,12,11.66667,35,58.33
GP,F,16,2,GT3,1,3,4,services,other,course,father,1,1,0,1,1,1,no,yes,yes,2,no,3,2,1,1,4,5,16,12,11,11,11.33333,34,56.67
GP,M,15,1,GT3,2,3,4,at_home,teacher,course,mother,4,2,0,1,2,1,no,yes,yes,1,yes,5,3,3,1,1,5,0,9,0,0,3,9,15
GP,F,15,2,GT3,2,4,4,services,at_home,course,mother,1,3,0,1,2,1,yes,yes,yes,2,yes,4,3,3,1,1,5,0,11,0,0,3.666667,11,18.33
GP,M,17,1,GT3,2,3,4,at_home,other,course,mother,3,2,0,1,1,1,no,yes,yes,1,no,5,4,5,2,4,5,0,10,0,0,3.333333,10,16.67
GP,F,16,2,GT3,1,3,3,other,other,course,other,2,1,2,1,2,1,yes,no,yes,2,yes,4,3,2,1,1,5,0,4,0,0,1.333333,4,6.67
GP,M,16,2,LE3,2,1,1,services,other,course,mother,1,2,1,1,1,1,no,yes,yes,1,yes,4,4,4,1,3,5,0,14,12,12,12.66667,38,63.33
GP,F,15,2,GT3,2,4,4,teacher,teacher,course,mother,2,1,0,1,1,1,yes,yes,yes,2,no,4,3,2,1,1,5,0,16,16,15,15.66667,47,78.33
GP,M,15,2,GT3,2,4,3,teacher,services,course,father,2,4,0,2,2,1,no,yes,yes,2,no,2,2,2,1,1,3,0,7,9,0,5.333333,16,26.67
GP,M,16,2,LE3,2,2,2,services,services,reputation,father,2,1,2,1,2,1,yes,yes,yes,2,no,2,3,3,2,2,2,8,9,9,9,9,27,45
GP,F,15,2,GT3,2,4,4,teacher,services,course,mother,1,3,0,1,2,2,yes,yes,yes,2,no,4,2,2,1,1,5,2,9,11,11,10.33333,31,51.67
GP,F,16,2,LE3,2,1,1,at_home,at_home,course,mother,1,1,0,1,1,1,no,yes,yes,2,no,3,4,4,3,3,1,2,14,14,13,13.66667,41,68.33
GP,M,17,2,GT3,2,2,1,other,other,home,mother,1,1,3,1,2,1,no,yes,yes,2,no,5,4,5,1,2,5,0,5,0,0,1.666667,5,8.33
GP,F,15,2,GT3,2,1,1,other,services,course,father,1,2,0,1,2,2,no,yes,yes,2,no,4,4,2,1,2,5,0,8,11,11,10,30,50
GP,F,15,2,GT3,2,3,2,health,services,home,father,1,2,3,1,2,1,no,yes,yes,2,no,3,3,2,1,1,3,0,6,7,0,4.333333,13,21.67
GP,F,15,2,GT3,2,1,2,at_home,other,course,mother,1,2,0,1,2,2,no,no,yes,2,no,4,3,2,1,1,5,2,10,11,11,10.66667,32,53.33
GP,M,16,2,GT3,2,4,4,teacher,teacher,course,mother,1,1,0,1,2,1,no,yes,no,2,yes,3,3,2,2,1,5,0,7,6,0,4.333333,13,21.67
GP,M,15,2,LE3,1,2,1,services,other,course,mother,4,1,3,1,1,1,no,yes,yes,2,no,4,5,5,2,5,5,0,8,9,10,9,27,45
GP,M,18,2,LE3,2,1,1,other,other,course,mother,1,1,3,1,1,1,no,yes,no,2,yes,2,3,5,2,5,4,0,6,5,0,3.666667,11,18.33
GP,M,16,2,LE3,2,2,1,at_home,other,course,mother,1,1,1,1,1,1,yes,yes,yes,1,yes,4,4,4,3,5,5,6,12,13,14,13,39,65
GP,F,15,1,GT3,2,3,3,services,services,reputation,other,2,3,2,1,2,2,yes,yes,yes,2,yes,4,2,1,2,3,3,8,10,10,10,10,30,50
GP,M,19,2,GT3,2,3,2,services,at_home,home,mother,1,1,3,1,2,1,no,yes,no,2,yes,4,5,4,1,1,4,0,5,0,0,1.666667,5,8.33
GP,F,17,2,GT3,2,4,4,other,teacher,course,mother,1,1,0,2,2,1,no,yes,yes,1,yes,4,2,1,1,1,4,0,11,11,12,11.33333,34,56.67
GP,M,15,1,GT3,2,2,3,at_home,services,course,mother,1,2,0,2,1,2,yes,yes,yes,1,no,4,4,4,1,1,1,2,11,8,8,9,27,45
GP,M,17,1,LE3,2,1,2,other,other,reputation,mother,1,1,0,1,1,1,no,yes,yes,1,no,2,2,2,3,3,5,8,16,12,13,13.66667,41,68.33
GP,F,18,1,GT3,2,1,1,at_home,other,course,mother,3,1,3,1,2,1,yes,no,yes,1,no,5,2,5,1,5,4,6,9,8,10,9,27,45
GP,M,16,1,GT3,2,2,2,at_home,other,course,mother,3,1,0,1,1,1,no,no,yes,1,no,4,2,2,1,2,3,2,17,15,15,15.66667,47,78.33
GP,M,16,2,GT3,2,3,3,other,services,course,father,1,2,1,1,2,2,no,yes,yes,2,yes,4,5,5,4,4,5,4,10,12,12,11.33333,34,56.67
GP,M,17,1,LE3,2,2,1,at_home,other,course,mother,2,1,2,1,1,1,yes,yes,no,2,yes,3,3,2,2,2,5,0,7,6,0,4.333333,13,21.67
GP,M,15,1,GT3,2,3,2,other,other,course,mother,2,2,2,2,2,1,no,yes,yes,2,yes,4,4,4,1,4,3,6,5,9,7,7,21,35
GP,M,16,2,LE3,2,1,2,other,other,course,mother,2,1,1,1,1,1,yes,yes,yes,1,no,4,4,4,2,4,5,0,7,0,0,2.333333,7,11.67
GP,M,17,2,GT3,2,1,3,at_home,services,course,father,1,1,0,1,1,1,no,yes,no,2,no,5,3,3,1,4,2,2,10,10,10,10,30,50
GP,M,17,1,LE3,2,1,1,other,services,course,mother,4,2,3,1,1,1,yes,yes,no,1,yes,5,3,5,1,5,5,0,5,8,7,6.666667,20,33.33
